"longTAPIO_trajectories_PCwr" "longTopKGraphs" "longTAPIO_trajectories_PC1"
"1" 1 0.525855586813117 0.922714668651058
"2" 0.883913006570347 0.647961492574156 0.605633699335212
"3" 0.973333124730886 1 0.948073410454901
"4" 0.935701696686146 0.598265871603988 0.764674648419361
"5" 0.742426796905803 0.394710360393653 0.516089032833749
"6" 0.986598879940902 0.986598879940902 0.885722828382541
"7" 0.986598879940902 0.659056376620451 0.973199601143244
"8" 0.986598879940902 0.69204496833891 0.784349635344986
"9" 0.986598879940902 0.878994662522803 0.858020404026755
"10" 0.839175296483545 0.625378131410156 0.794050578688682
"11" 1 1 0.973333124730886
"12" 1 1 0.935186954301571
"13" 1 0.604244996508862 0.822176993970837
"14" 1 1 0.986598879940902
"15" 0.986598879940902 1 0.960630467282476
"16" 0.947079615562234 1 0.797921093972812
"17" 0.960630467282476 0.986598879940902 0.72421260200954
"18" 0.868561435845262 0.626519318381675 0.798961044588954
"19" 0.923837365536673 0.986598879940902 0.784836829148604
"20" 0.97347395681731 1 0.921764492226238
"21" 0.839175296483545 0.439178465040103 0.725098983207778
"22" 0.875287910756623 0.830025624277747 0.720492991033891
"23" 0.973466666666667 0.960078340434069 0.922348590424266
"24" 1 0.923837365536673 0.86980227790927
"25" 0.947240331472934 0.446062632448956 0.947240331472934
"26" 1 0.535929862163504 1
"27" 1 0.986598879940902 0.909319705947267
"28" 0.668499196260934 0.510641929071866 0.545309547664356
"29" 1 0.986598879940902 0.908125139813709
"30" 1 1 0.843704340323463
"31" 1 1 0.923083088958041
"32" 1 1 0.751100582730277
"33" 1 0.60838863022173 0.986598879940902
"34" 0.97347395681731 1 0.92217590523858
"35" 0.868561435845262 1 0.773116211578547
"36" 0.97347395681731 1 0.960630467282476
"37" 1 1 0.948073410454901
"38" 0.797945090339369 0.333432474485224 0.530646482389745
"39" 1 1 0.986598879940902
"40" 0.986598879940902 0.855279757029849 0.986598879940902
"41" 1 0.986598879940902 0.812403322888207
"42" 1 1 0.973199601143244
"43" 0.97347395681731 1 0.973336788403479
"44" 0.704853677602088 0.53343334425238 0.38517315229811
"45" 0.97347395681731 0.601473663449455 0.948073410454901
"46" 0.88353088244191 0.89950676708491 0.617290290828459
"47" 0.742792139281659 0.561699629106135 0.525403901651314
"48" 0.986598879940902 0.986598879940902 0.947211335585178
"49" 1 0.525014556017083 0.960608828917197
"50" 0.960608828917197 1 0.94694791363462
