"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 0.95 0.9 0.75 0.3 1 0.8
"2" 0.9 0.7 0.75 0.35 0.75 0.95
"3" 0.8 0.65 0.65 0.3 0.7 0.7
"4" 0.9 0.9 0.65 0.1 0.85 0.65
"5" 0.85 0.9 0.85 0.35 0.65 0.8
"6" 0.65 0.7 0.7 0.3 0.95 0.7
"7" 0.7 0.7 0.8 0.1 0.95 0.8
"8" 0.85 0.95 0.75 0.4 0.9 0.85
"9" 0.9 0.85 0.55 0.2 0.85 0.95
"10" 0.75 0.7 0.75 0.25 0.75 0.75
"11" 0.85 0.9 0.8 0.25 0.85 0.9
"12" 0.7 0.65 0.85 0.2 0.8 0.95
"13" 0.65 0.6 0.85 0.5 0.85 0.65
"14" 0.65 0.85 0.8 0.25 0.85 0.9
"15" 0.9 0.7 0.85 0.45 0.8 0.8
"16" 0.9 0.65 0.75 0.15 0.85 0.85
"17" 0.9 0.85 0.75 0.1 0.7 0.8
"18" 0.6 0.9 0.75 0.4 0.8 0.75
"19" 0.8 0.4 0.9 0.35 0.95 0.75
"20" 0.65 0.7 0.5 0.15 0.7 0.7
"21" 0.8 0.6 0.6 0.25 0.75 0.7
"22" 0.8 0.6 0.7 0.35 0.75 0.45
"23" 0.85 0.8 0.75 0.3 0.9 0.75
"24" 1 0.85 0.65 0.3 0.9 0.9
"25" 0.7 0.7 0.65 0.35 0.85 0.65
"26" 0.7 0.8 0.65 0.4 0.65 0.8
"27" 0.6 0.65 0.9 0.45 0.65 0.55
"28" 0.85 0.75 0.55 0.4 0.9 0.8
"29" 0.85 0.8 0.75 0.4 0.9 0.75
"30" 0.75 0.8 0.65 0.15 0.75 0.75
"31" 0.9 0.6 0.7 0.25 0.95 0.85
"32" 0.75 0.55 0.5 0.4 0.75 0.65
"33" 0.85 0.55 0.75 0.1 0.85 0.8
"34" 0.8 0.85 0.8 0.25 1 0.95
"35" 0.85 0.8 0.75 0.35 0.6 0.75
"36" 0.65 0.7 0.7 0.3 0.85 0.75
"37" 0.7 0.6 0.75 0.3 0.75 0.95
"38" 0.75 0.85 0.45 0.25 0.75 0.65
"39" 0.85 0.75 0.85 0.4 1 0.95
"40" 0.75 0.75 0.65 0.3 0.8 0.9
"41" 0.95 0.65 0.5 0.3 0.9 0.85
"42" 0.6 0.7 0.7 0.25 0.75 0.85
"43" 0.75 0.75 0.7 0.55 0.85 0.5
"44" 0.75 0.9 0.8 0.3 0.95 0.8
"45" 0.85 0.95 0.95 0.45 0.8 0.8
"46" 0.8 0.45 0.55 0.5 0.9 0.9
"47" 0.95 0.6 0.9 0.3 0.8 0.75
"48" 0.85 0.75 0.8 0.15 0.7 0.7
"49" 0.95 0.85 0.75 0.3 0.75 0.85
"50" 0.65 0.5 0.35 0.4 0.75 0.7
