"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 0.95 0.95 1 0.6 1 1
"2" 0.95 0.85 0.85 0.7 0.7 0.9
"3" 0.95 0.95 0.9 0.5 0.8 0.85
"4" 1 0.95 1 0.5 1 1
"5" 0.95 0.95 1 0.7 1 0.95
"6" 1 0.95 1 0.45 1 1
"7" 0.95 0.9 0.85 0.5 0.9 0.95
"8" 1 1 1 0.55 1 1
"9" 1 1 0.95 0.5 1 1
"10" 0.8 0.95 0.95 0.2 0.85 0.9
"11" 0.95 0.95 0.95 0.7 1 1
"12" 0.95 1 1 0.6 1 1
"13" 1 0.9 0.85 0.65 0.95 0.9
"14" 1 0.9 0.95 0.85 0.95 0.95
"15" 0.9 0.85 1 0.5 0.9 0.9
"16" 0.9 1 1 0.55 0.95 1
"17" 0.95 0.8 0.95 0.4 1 1
"18" 0.95 1 0.9 0.25 0.95 1
"19" 1 1 1 0.45 1 0.85
"20" 1 0.8 1 0.7 0.9 1
"21" 1 0.95 1 0.75 1 1
"22" 1 1 0.9 0.4 1 0.95
"23" 0.95 0.9 1 0.4 1 1
"24" 1 1 1 0.5 1 1
"25" 0.95 1 0.95 0.8 1 1
"26" 0.95 1 1 0.45 0.95 0.95
"27" 1 0.95 1 0.6 0.95 1
"28" 0.95 0.9 0.9 0.65 0.9 0.85
"29" 0.85 0.95 1 0.5 0.9 0.9
"30" 1 0.95 0.9 0.75 0.95 1
"31" 0.95 0.95 1 0.65 0.85 0.95
"32" 1 1 0.9 0.5 1 0.9
"33" 0.9 0.9 0.95 0.55 0.9 0.85
"34" 1 1 1 0.6 1 1
"35" 1 0.85 0.95 0.6 0.9 1
"36" 1 1 0.95 0.65 1 0.95
"37" 0.95 0.95 0.95 0.75 0.75 0.45
"38" 0.95 0.95 1 0.25 0.95 0.8
"39" 1 0.9 1 0.95 1 1
"40" 0.9 1 1 0.6 1 0.65
"41" 1 1 0.95 0.55 1 1
"42" 1 0.95 1 0.6 1 1
"43" 1 0.95 0.95 0.4 1 1
"44" 1 0.85 0.95 0.6 0.75 1
"45" 0.85 0.95 1 0.55 0.9 0.9
"46" 0.95 0.9 1 0.65 0.6 0.8
"47" 1 0.95 1 0.5 1 1
"48" 1 1 1 0.7 1 1
"49" 0.85 0.9 0.8 0.6 0.9 0.75
"50" 0.85 1 0.95 0.4 1 0.9
