"Run" "Method" "K" "BalancedAccuracy"
"515" 15 "TopKGraphs" "K=10" 0.814229160563747
"516" 16 "TopKGraphs" "K=10" 0.86073626641578
"517" 17 "TopKGraphs" "K=10" 0.709004412575841
"518" 18 "TopKGraphs" "K=10" 0.719885620915033
"519" 19 "TopKGraphs" "K=10" 0.814881888895047
"520" 20 "TopKGraphs" "K=10" 0.667536167536168
"521" 21 "TopKGraphs" "K=10" 0.767750239463602
"522" 22 "TopKGraphs" "K=10" 0.714187856968029
"523" 23 "TopKGraphs" "K=10" 0.755336257309941
"524" 24 "TopKGraphs" "K=10" 0.851303547657714
"525" 25 "TopKGraphs" "K=10" 0.834839598512895
"526" 26 "TopKGraphs" "K=10" 0.711050724637681
"527" 27 "TopKGraphs" "K=10" 0.787136509615501
"528" 28 "TopKGraphs" "K=10" 0.747251059232626
"529" 29 "TopKGraphs" "K=10" 0.779362721319428
"530" 30 "TopKGraphs" "K=10" 0.781006478127784
"531" 31 "TopKGraphs" "K=10" 0.774035929299087
"532" 32 "TopKGraphs" "K=10" 0.791497170651458
"533" 33 "TopKGraphs" "K=10" 0.731167243666977
"534" 34 "TopKGraphs" "K=10" 0.883680555555556
"535" 35 "TopKGraphs" "K=10" 0.800238304109272
"536" 36 "TopKGraphs" "K=10" 0.778283561379703
"537" 37 "TopKGraphs" "K=10" 0.856325684450684
"538" 38 "TopKGraphs" "K=10" 0.836519309918325
"539" 39 "TopKGraphs" "K=10" 0.938707790862963
"540" 40 "TopKGraphs" "K=10" 0.768666666666667
"541" 41 "TopKGraphs" "K=10" 0.720897084781847
"542" 42 "TopKGraphs" "K=10" 0.800367472735894
"543" 43 "TopKGraphs" "K=10" 0.914249639249639
"544" 44 "TopKGraphs" "K=10" 0.735204248366013
"545" 45 "TopKGraphs" "K=10" 0.82516193977591
"546" 46 "TopKGraphs" "K=10" 0.774447765072765
"547" 47 "TopKGraphs" "K=10" 0.767099310586706
"548" 48 "TopKGraphs" "K=10" 0.742058885808886
"549" 49 "TopKGraphs" "K=10" 0.837509157509158
"550" 50 "TopKGraphs" "K=10" 0.842760942760943
"551" 1 "Node2Vec" "K=10" 0.832607835347983
"552" 2 "Node2Vec" "K=10" 0.824923395178056
"553" 3 "Node2Vec" "K=10" 0.760624129045182
"554" 4 "Node2Vec" "K=10" 0.738099951519069
"555" 5 "Node2Vec" "K=10" 0.886428571428571
"556" 6 "Node2Vec" "K=10" 0.866934582958924
"557" 7 "Node2Vec" "K=10" 0.790731626431935
"558" 8 "Node2Vec" "K=10" 0.7923318001443
"559" 9 "Node2Vec" "K=10" 0.861594550100742
"560" 10 "Node2Vec" "K=10" 0.817656274378963
"561" 11 "Node2Vec" "K=10" 0.909722222222222
"562" 12 "Node2Vec" "K=10" 0.805239514823693
"563" 13 "Node2Vec" "K=10" 0.904914070891515
"564" 14 "Node2Vec" "K=10" 0.714285714285714
"565" 15 "Node2Vec" "K=10" 0.909622926093514
"566" 16 "Node2Vec" "K=10" 0.828759664801382
"567" 17 "Node2Vec" "K=10" 0.760270046045908
"568" 18 "Node2Vec" "K=10" 0.708444683908046
"569" 19 "Node2Vec" "K=10" 0.772331123309539
"570" 20 "Node2Vec" "K=10" 0.740373881351325
"571" 21 "Node2Vec" "K=10" 0.841500488437065
"572" 22 "Node2Vec" "K=10" 0.756096236852816
"573" 23 "Node2Vec" "K=10" 0.792692307692308
"574" 24 "Node2Vec" "K=10" 0.870397660530488
"575" 25 "Node2Vec" "K=10" 0.807277418827141
"576" 26 "Node2Vec" "K=10" 0.922406943546649
"577" 27 "Node2Vec" "K=10" 0.741407878466702
"578" 28 "Node2Vec" "K=10" 0.792542554302423
"579" 29 "Node2Vec" "K=10" 0.820151515151515
"580" 30 "Node2Vec" "K=10" 0.796646185355863
"581" 31 "Node2Vec" "K=10" 0.84545045045045
"582" 32 "Node2Vec" "K=10" 0.853361089521804
"583" 33 "Node2Vec" "K=10" 0.789869178440607
"584" 34 "Node2Vec" "K=10" 0.943299220272904
"585" 35 "Node2Vec" "K=10" 0.754231122455387
"586" 36 "Node2Vec" "K=10" 0.856661290778938
"587" 37 "Node2Vec" "K=10" 0.870606711584155
"588" 38 "Node2Vec" "K=10" 0.807176755297056
"589" 39 "Node2Vec" "K=10" 0.843231009208832
"590" 40 "Node2Vec" "K=10" 0.702236835049335
"591" 41 "Node2Vec" "K=10" 0.832800402821875
"592" 42 "Node2Vec" "K=10" 0.814434523809524
"593" 43 "Node2Vec" "K=10" 0.893211346024413
"594" 44 "Node2Vec" "K=10" 0.78048048771733
"595" 45 "Node2Vec" "K=10" 0.805559097284202
"596" 46 "Node2Vec" "K=10" 0.80756026402816
"597" 47 "Node2Vec" "K=10" 0.701727843915344
"598" 48 "Node2Vec" "K=10" 0.83734236120806
"599" 49 "Node2Vec" "K=10" 0.702548540783835
"600" 50 "Node2Vec" "K=10" 0.890901934322987
"601" 1 "Jaccard" "K=10" 0.699008719297077
"602" 2 "Jaccard" "K=10" 0.744422586171355
"603" 3 "Jaccard" "K=10" 0.846451451451451
"604" 4 "Jaccard" "K=10" 0.769685301964589
"605" 5 "Jaccard" "K=10" 0.709267040916477
"606" 6 "Jaccard" "K=10" 0.782517451220459
"607" 7 "Jaccard" "K=10" 0.782819575060954
"608" 8 "Jaccard" "K=10" 0.845690154440154
"609" 9 "Jaccard" "K=10" 0.808229150235729
"610" 10 "Jaccard" "K=10" 0.745374262194539
"611" 11 "Jaccard" "K=10" 0.729166666666667
"612" 12 "Jaccard" "K=10" 0.878706324635117
"613" 13 "Jaccard" "K=10" 0.791406063464887
"614" 14 "Jaccard" "K=10" 0.722222222222222
"615" 15 "Jaccard" "K=10" 0.831373836770393
"616" 16 "Jaccard" "K=10" 0.747630019749835
"617" 17 "Jaccard" "K=10" 0.760726495726496
"618" 18 "Jaccard" "K=10" 0.733587440824283
"619" 19 "Jaccard" "K=10" 0.741503235200714
"620" 20 "Jaccard" "K=10" 0.765847953216374
"621" 21 "Jaccard" "K=10" 0.740784840582001
"622" 22 "Jaccard" "K=10" 0.838542533855034
"623" 23 "Jaccard" "K=10" 0.768000474027639
"624" 24 "Jaccard" "K=10" 0.79206644479961
"625" 25 "Jaccard" "K=10" 0.806166601255887
"626" 26 "Jaccard" "K=10" 0.811807615142519
"627" 27 "Jaccard" "K=10" 0.669128405221756
"628" 28 "Jaccard" "K=10" 0.795335184808869
"629" 29 "Jaccard" "K=10" 0.704197781411681
"630" 30 "Jaccard" "K=10" 0.776460174996926
"631" 31 "Jaccard" "K=10" 0.774633553580922
"632" 32 "Jaccard" "K=10" 0.844874616513272
"633" 33 "Jaccard" "K=10" 0.707732652883515
"634" 34 "Jaccard" "K=10" 0.844383359646518
"635" 35 "Jaccard" "K=10" 0.721264046159004
"636" 36 "Jaccard" "K=10" 0.831139289759979
"637" 37 "Jaccard" "K=10" 0.757902847677284
"638" 38 "Jaccard" "K=10" 0.758177349407188
"639" 39 "Jaccard" "K=10" 0.879146048882891
"640" 40 "Jaccard" "K=10" 0.718909988646831
"641" 41 "Jaccard" "K=10" 0.686580611818315
"642" 42 "Jaccard" "K=10" 0.743609339004076
"643" 43 "Jaccard" "K=10" 0.801419002458901
"644" 44 "Jaccard" "K=10" 0.745234204793028
"645" 45 "Jaccard" "K=10" 0.858829523303207
"646" 46 "Jaccard" "K=10" 0.753973958398952
"647" 47 "Jaccard" "K=10" 0.820431949003378
"648" 48 "Jaccard" "K=10" 0.750531201123874
"649" 49 "Jaccard" "K=10" 0.798611111111111
"650" 50 "Jaccard" "K=10" 0.698203842940685
"651" 1 "Dice" "K=10" 0.761328281312525
"652" 2 "Dice" "K=10" 0.765038491885783
"653" 3 "Dice" "K=10" 0.796885521885522
"654" 4 "Dice" "K=10" 0.710653235653236
"655" 5 "Dice" "K=10" 0.847210012210012
"656" 6 "Dice" "K=10" 0.872733424847819
"657" 7 "Dice" "K=10" 0.84692789968652
"658" 8 "Dice" "K=10" 0.872272041683806
"659" 9 "Dice" "K=10" 0.827925161258495
"660" 10 "Dice" "K=10" 0.811413772423358
"661" 11 "Dice" "K=10" 0.693108974358974
"662" 12 "Dice" "K=10" 0.796872514234516
"663" 13 "Dice" "K=10" 0.741175763234587
"664" 14 "Dice" "K=10" 0.67903311965812
"665" 15 "Dice" "K=10" 0.827146347906208
"666" 16 "Dice" "K=10" 0.7612290181224
"667" 17 "Dice" "K=10" 0.724314219614972
"668" 18 "Dice" "K=10" 0.728427240461402
"669" 19 "Dice" "K=10" 0.889435168006597
"670" 20 "Dice" "K=10" 0.752991737235435
"671" 21 "Dice" "K=10" 0.752090104204075
"672" 22 "Dice" "K=10" 0.758356227106227
"673" 23 "Dice" "K=10" 0.740868506493507
"674" 24 "Dice" "K=10" 0.828647138680033
"675" 25 "Dice" "K=10" 0.805586832434123
"676" 26 "Dice" "K=10" 0.781330552163885
"677" 27 "Dice" "K=10" 0.684920634920635
"678" 28 "Dice" "K=10" 0.814661976426682
"679" 29 "Dice" "K=10" 0.690185984303631
"680" 30 "Dice" "K=10" 0.768401639783219
"681" 31 "Dice" "K=10" 0.834075533047227
"682" 32 "Dice" "K=10" 0.828060227023361
"683" 33 "Dice" "K=10" 0.80906432748538
"684" 34 "Dice" "K=10" 0.782672458008592
"685" 35 "Dice" "K=10" 0.732838462101135
"686" 36 "Dice" "K=10" 0.830092592592593
"687" 37 "Dice" "K=10" 0.838624024784739
"688" 38 "Dice" "K=10" 0.756689342403628
"689" 39 "Dice" "K=10" 0.743900033555206
"690" 40 "Dice" "K=10" 0.733522015265436
"691" 41 "Dice" "K=10" 0.692209139517509
"692" 42 "Dice" "K=10" 0.79053916769434
"693" 43 "Dice" "K=10" 0.82506621531406
"694" 44 "Dice" "K=10" 0.717982079195314
"695" 45 "Dice" "K=10" 0.798210231461005
"696" 46 "Dice" "K=10" 0.841652619928482
"697" 47 "Dice" "K=10" 0.823122916872917
"698" 48 "Dice" "K=10" 0.758240213648183
"699" 49 "Dice" "K=10" 0.755485893416928
"700" 50 "Dice" "K=10" 0.845040005462
"701" 1 "PageRank" "K=10" 0.730103453893777
"702" 2 "PageRank" "K=10" 0.713608185209568
"703" 3 "PageRank" "K=10" 0.705322669608384
"704" 4 "PageRank" "K=10" 0.730513204736995
"705" 5 "PageRank" "K=10" 0.712362637362637
"706" 6 "PageRank" "K=10" 0.705138305322129
"707" 7 "PageRank" "K=10" 0.81994116994117
"708" 8 "PageRank" "K=10" 0.891544117647059
"709" 9 "PageRank" "K=10" 0.745887445887446
"710" 10 "PageRank" "K=10" 0.81305157185375
"711" 11 "PageRank" "K=10" 0.621031746031746
"712" 12 "PageRank" "K=10" 0.864974937343358
"713" 13 "PageRank" "K=10" 0.809605914869073
"714" 14 "PageRank" "K=10" 0.55982905982906
"715" 15 "PageRank" "K=10" 0.857078715106732
"716" 16 "PageRank" "K=10" 0.680601272767171
"717" 17 "PageRank" "K=10" 0.648717948717949
"718" 18 "PageRank" "K=10" 0.608843537414966
"719" 19 "PageRank" "K=10" 0.887948139025725
"720" 20 "PageRank" "K=10" 0.724171539961014
"721" 21 "PageRank" "K=10" 0.773334535834536
"722" 22 "PageRank" "K=10" 0.652349300337806
"723" 23 "PageRank" "K=10" 0.710161500354656
"724" 24 "PageRank" "K=10" 0.858431973987248
"725" 25 "PageRank" "K=10" 0.864668848308554
"726" 26 "PageRank" "K=10" 0.653235653235653
"727" 27 "PageRank" "K=10" 0.618954248366013
"728" 28 "PageRank" "K=10" 0.896967190515578
"729" 29 "PageRank" "K=10" 0.714425790851979
"730" 30 "PageRank" "K=10" 0.6936523937532
"731" 31 "PageRank" "K=10" 0.624047619047619
"732" 32 "PageRank" "K=10" 0.819083181078302
"733" 33 "PageRank" "K=10" 0.699210146578568
"734" 34 "PageRank" "K=10" 0.898654535428729
"735" 35 "PageRank" "K=10" 0.843574807161764
"736" 36 "PageRank" "K=10" 0.787534041394335
"737" 37 "PageRank" "K=10" 0.837664426950141
"738" 38 "PageRank" "K=10" 0.868481369820655
"739" 39 "PageRank" "K=10" 0.78661567190979
"740" 40 "PageRank" "K=10" 0.607929292929293
"741" 41 "PageRank" "K=10" 0.735592906143204
"742" 42 "PageRank" "K=10" 0.713461538461538
"743" 43 "PageRank" "K=10" 0.832736754611755
"744" 44 "PageRank" "K=10" 0.670068027210884
"745" 45 "PageRank" "K=10" 0.691818181818182
"746" 46 "PageRank" "K=10" 0.767738966014828
"747" 47 "PageRank" "K=10" 0.660849058522931
"748" 48 "PageRank" "K=10" 0.69217068053275
"749" 49 "PageRank" "K=10" 0.672938542938543
"750" 50 "PageRank" "K=10" 0.621212121212121
