"Run" "Method" "K" "BalancedAccuracy"
"113" 13 "Jaccard" "K=5" 0.920291514041514
"114" 14 "Jaccard" "K=5" 0.759004524886878
"115" 15 "Jaccard" "K=5" 0.79713936856794
"116" 16 "Jaccard" "K=5" 0.880739813005823
"117" 17 "Jaccard" "K=5" 0.863251713251713
"118" 18 "Jaccard" "K=5" 0.777793843583317
"119" 19 "Jaccard" "K=5" 0.831643315633463
"120" 20 "Jaccard" "K=5" 0.731202058175742
"121" 21 "Jaccard" "K=5" 0.821389310091669
"122" 22 "Jaccard" "K=5" 0.775015957552109
"123" 23 "Jaccard" "K=5" 0.837377087518217
"124" 24 "Jaccard" "K=5" 0.918857959850607
"125" 25 "Jaccard" "K=5" 0.873313026399015
"126" 26 "Jaccard" "K=5" 0.942116881772054
"127" 27 "Jaccard" "K=5" 0.733806899483639
"128" 28 "Jaccard" "K=5" 0.861945194182036
"129" 29 "Jaccard" "K=5" 0.774875930521092
"130" 30 "Jaccard" "K=5" 0.760762024107889
"131" 31 "Jaccard" "K=5" 0.841511875020278
"132" 32 "Jaccard" "K=5" 0.813882738066041
"133" 33 "Jaccard" "K=5" 0.761774781679673
"134" 34 "Jaccard" "K=5" 0.829776383037253
"135" 35 "Jaccard" "K=5" 0.815430527930528
"136" 36 "Jaccard" "K=5" 0.820563321847465
"137" 37 "Jaccard" "K=5" 0.831157119082816
"138" 38 "Jaccard" "K=5" 0.841799771110116
"139" 39 "Jaccard" "K=5" 0.94949147370547
"140" 40 "Jaccard" "K=5" 0.72980463980464
"141" 41 "Jaccard" "K=5" 0.744601521164021
"142" 42 "Jaccard" "K=5" 0.852678571428571
"143" 43 "Jaccard" "K=5" 0.876991672487996
"144" 44 "Jaccard" "K=5" 0.788592360020931
"145" 45 "Jaccard" "K=5" 0.767004076214603
"146" 46 "Jaccard" "K=5" 0.787274410803823
"147" 47 "Jaccard" "K=5" 0.8522899678616
"148" 48 "Jaccard" "K=5" 0.740586059397636
"149" 49 "Jaccard" "K=5" 0.796371372879994
"150" 50 "Jaccard" "K=5" 0.835527065527066
"151" 1 "Dice" "K=5" 0.835652781869575
"152" 2 "Dice" "K=5" 0.782565043636068
"153" 3 "Dice" "K=5" 0.905625636982482
"154" 4 "Dice" "K=5" 0.676346486457972
"155" 5 "Dice" "K=5" 0.856229141229141
"156" 6 "Dice" "K=5" 0.746943215085077
"157" 7 "Dice" "K=5" 0.878810518982933
"158" 8 "Dice" "K=5" 0.92064979780497
"159" 9 "Dice" "K=5" 0.753263951384252
"160" 10 "Dice" "K=5" 0.726732930934612
"161" 11 "Dice" "K=5" 0.907043142043142
"162" 12 "Dice" "K=5" 0.901077388258408
"163" 13 "Dice" "K=5" 0.8829310901971
"164" 14 "Dice" "K=5" 0.700552200552201
"165" 15 "Dice" "K=5" 0.831063777184467
"166" 16 "Dice" "K=5" 0.794875362732506
"167" 17 "Dice" "K=5" 0.774352209352209
"168" 18 "Dice" "K=5" 0.724333209295615
"169" 19 "Dice" "K=5" 0.786053528910672
"170" 20 "Dice" "K=5" 0.66173946709661
"171" 21 "Dice" "K=5" 0.7762738997114
"172" 22 "Dice" "K=5" 0.88997681833435
"173" 23 "Dice" "K=5" 0.844750943855803
"174" 24 "Dice" "K=5" 0.752487538400851
"175" 25 "Dice" "K=5" 0.811119510288229
"176" 26 "Dice" "K=5" 0.81079087858107
"177" 27 "Dice" "K=5" 0.75
"178" 28 "Dice" "K=5" 0.77360870124028
"179" 29 "Dice" "K=5" 0.710571667263397
"180" 30 "Dice" "K=5" 0.826357332607333
"181" 31 "Dice" "K=5" 0.833467113730272
"182" 32 "Dice" "K=5" 0.863636363636364
"183" 33 "Dice" "K=5" 0.84715250965251
"184" 34 "Dice" "K=5" 0.902350427350427
"185" 35 "Dice" "K=5" 0.807520099436312
"186" 36 "Dice" "K=5" 0.776795914063716
"187" 37 "Dice" "K=5" 0.78579132016632
