"Run" "Method" "Metric" "Score"
"163" 13 "Dice" "ARI" 0.0745769558231545
"164" 14 "Dice" "ARI" 0.0129964512818999
"165" 15 "Dice" "ARI" 0.16785638771986
"166" 16 "Dice" "ARI" 0.219022730202138
"167" 17 "Dice" "ARI" 0.159621199479336
"168" 18 "Dice" "ARI" 0.073616924416285
"169" 19 "Dice" "ARI" 0.185764828830751
"170" 20 "Dice" "ARI" 0.153905887304146
"171" 21 "Dice" "ARI" 0.054241184813193
"172" 22 "Dice" "ARI" 0.0616888826708473
"173" 23 "Dice" "ARI" 0.129297303634883
"174" 24 "Dice" "ARI" 0.123261309660923
"175" 25 "Dice" "ARI" 0.0518488170206914
"176" 26 "Dice" "ARI" 0.0101890230768545
"177" 27 "Dice" "ARI" -0.0618601196023255
"178" 28 "Dice" "ARI" 0.0819353351978653
"179" 29 "Dice" "ARI" 0.0379558552176959
"180" 30 "Dice" "ARI" 0.109904097515459
"181" 31 "Dice" "ARI" 0.162245514489126
"182" 32 "Dice" "ARI" 0.164238233006423
"183" 33 "Dice" "ARI" 0.129612643985451
"184" 34 "Dice" "ARI" 0.0698828562321379
"185" 35 "Dice" "ARI" 0.0368661703283137
"186" 36 "Dice" "ARI" 0.157614266873907
"187" 37 "Dice" "ARI" 0.104706359224922
"188" 38 "Dice" "ARI" 0.033650087499789
"189" 39 "Dice" "ARI" 0.170384451719575
"190" 40 "Dice" "ARI" 0.243050916226246
"191" 41 "Dice" "ARI" 0.0794380154395605
"192" 42 "Dice" "ARI" 0.0838440432188595
"193" 43 "Dice" "ARI" 0.166450458988243
"194" 44 "Dice" "ARI" 0.0286242020432734
"195" 45 "Dice" "ARI" 0.15736755065377
"196" 46 "Dice" "ARI" 0.0254951971781606
"197" 47 "Dice" "ARI" 0.0925989195152486
"198" 48 "Dice" "ARI" 0.204439315315106
"199" 49 "Dice" "ARI" 0.0197872947539325
"200" 50 "Dice" "ARI" 0.107100400239271
"201" 1 "PageRank" "ARI" 0.0544439119833814
"202" 2 "PageRank" "ARI" 0.245525085212348
"203" 3 "PageRank" "ARI" 0.363077254889963
"204" 4 "PageRank" "ARI" 0.120727989657425
"205" 5 "PageRank" "ARI" 0.389842428118658
"206" 6 "PageRank" "ARI" 0.266310423439632
"207" 7 "PageRank" "ARI" 0.300234025635617
"208" 8 "PageRank" "ARI" 0.195718740500712
"209" 9 "PageRank" "ARI" 0.730762075172002
"210" 10 "PageRank" "ARI" 0.190264763181003
"211" 11 "PageRank" "ARI" 0.4984339187213
"212" 12 "PageRank" "ARI" 0.109460273054583
"213" 13 "PageRank" "ARI" 0.119264358281695
"214" 14 "PageRank" "ARI" 0.214889912211579
"215" 15 "PageRank" "ARI" 0.220074979314172
"216" 16 "PageRank" "ARI" 0.116412555226733
"217" 17 "PageRank" "ARI" 0.444047321083252
"218" 18 "PageRank" "ARI" 0.239497664938929
"219" 19 "PageRank" "ARI" 0.471610297142376
"220" 20 "PageRank" "ARI" 0.347716256911874
"221" 21 "PageRank" "ARI" 0.136658551036157
"222" 22 "PageRank" "ARI" 0.151314146531938
"223" 23 "PageRank" "ARI" 0.472523206404632
"224" 24 "PageRank" "ARI" 0.106709213966891
"225" 25 "PageRank" "ARI" 0.101272833512373
"226" 26 "PageRank" "ARI" 0.346371740494841
"227" 27 "PageRank" "ARI" 0.14982090035833
"228" 28 "PageRank" "ARI" 0.0616602832991865
"229" 29 "PageRank" "ARI" 0.0472644429131038
"230" 30 "PageRank" "ARI" 0.14691184920355
"231" 31 "PageRank" "ARI" 0.0253964435731308
"232" 32 "PageRank" "ARI" 0.122163099693872
"233" 33 "PageRank" "ARI" 0.471727216268972
"234" 34 "PageRank" "ARI" 0.327785025348592
"235" 35 "PageRank" "ARI" 0.103911987460921
"236" 36 "PageRank" "ARI" 0.243017568934923
"237" 37 "PageRank" "ARI" 0.115124795608484
"238" 38 "PageRank" "ARI" 0.167026159597006
"239" 39 "PageRank" "ARI" 0.224959644136895
"240" 40 "PageRank" "ARI" 0.46791081395053
"241" 41 "PageRank" "ARI" 0.125495816235153
"242" 42 "PageRank" "ARI" 0.379288748178186
"243" 43 "PageRank" "ARI" 0.18974735600385
"244" 44 "PageRank" "ARI" -0.0493067114906745
"245" 45 "PageRank" "ARI" 0.539050666046187
"246" 46 "PageRank" "ARI" 0.165765509338995
"247" 47 "PageRank" "ARI" 0.177320758337975
"248" 48 "PageRank" "ARI" 0.480852554675887
"249" 49 "PageRank" "ARI" 0.0685656401246372
"250" 50 "PageRank" "ARI" 0.331432429163097
"251" 1 "TopKGraphs" "NMI" 0.486076272669377
"252" 2 "TopKGraphs" "NMI" 0.514092179102695
"253" 3 "TopKGraphs" "NMI" 0.504708495515963
"254" 4 "TopKGraphs" "NMI" 0.333219169580921
"255" 5 "TopKGraphs" "NMI" 0.490611087384322
"256" 6 "TopKGraphs" "NMI" 0.48367531959372
"257" 7 "TopKGraphs" "NMI" 0.600556889413856
"258" 8 "TopKGraphs" "NMI" 0.429998916267271
"259" 9 "TopKGraphs" "NMI" 0.558173026932626
"260" 10 "TopKGraphs" "NMI" 0.583646512569211
"261" 11 "TopKGraphs" "NMI" 0.362259862799205
"262" 12 "TopKGraphs" "NMI" 0.280625828215707
"263" 13 "TopKGraphs" "NMI" 0.643356657583663
"264" 14 "TopKGraphs" "NMI" 0.230449990820813
"265" 15 "TopKGraphs" "NMI" 0.450489590127392
"266" 16 "TopKGraphs" "NMI" 0.540118283976739
"267" 17 "TopKGraphs" "NMI" 0.465142597557867
"268" 18 "TopKGraphs" "NMI" 0.347958865232581
"269" 19 "TopKGraphs" "NMI" 0.575939664131406
"270" 20 "TopKGraphs" "NMI" 0.338274060723996
"271" 21 "TopKGraphs" "NMI" 0.383702398035121
"272" 22 "TopKGraphs" "NMI" 0.388349297262877
"273" 23 "TopKGraphs" "NMI" 0.488266538623065
"274" 24 "TopKGraphs" "NMI" 0.514150524622399
"275" 25 "TopKGraphs" "NMI" 0.425213342925737
"276" 26 "TopKGraphs" "NMI" 0.400157905430643
"277" 27 "TopKGraphs" "NMI" 0.286500377143749
"278" 28 "TopKGraphs" "NMI" 0.524117237804917
"279" 29 "TopKGraphs" "NMI" 0.437126373725055
"280" 30 "TopKGraphs" "NMI" 0.531847820735882
"281" 31 "TopKGraphs" "NMI" 0.412707253822634
"282" 32 "TopKGraphs" "NMI" 0.482018724520067
"283" 33 "TopKGraphs" "NMI" 0.47034368830783
"284" 34 "TopKGraphs" "NMI" 0.461880900335235
"285" 35 "TopKGraphs" "NMI" 0.461132373936616
"286" 36 "TopKGraphs" "NMI" 0.444527248881506
"287" 37 "TopKGraphs" "NMI" 0.559856356398832
"288" 38 "TopKGraphs" "NMI" 0.478149622092406
"289" 39 "TopKGraphs" "NMI" 0.554274020386836
"290" 40 "TopKGraphs" "NMI" 0.314979647391695
"291" 41 "TopKGraphs" "NMI" 0.343917618850419
"292" 42 "TopKGraphs" "NMI" 0.402671029352487
"293" 43 "TopKGraphs" "NMI" 0.578213918159619
"294" 44 "TopKGraphs" "NMI" 0.323710702872853
"295" 45 "TopKGraphs" "NMI" 0.527389762525074
"296" 46 "TopKGraphs" "NMI" 0.529192410294771
"297" 47 "TopKGraphs" "NMI" 0.441199382078947
"298" 48 "TopKGraphs" "NMI" 0.628378023083097
"299" 49 "TopKGraphs" "NMI" 0.243158717806291
"300" 50 "TopKGraphs" "NMI" 0.464995013491051
"301" 1 "Node2Vec" "NMI" 0.4555108483757
"302" 2 "Node2Vec" "NMI" 0.490364920556836
"303" 3 "Node2Vec" "NMI" 0.493305451368043
"304" 4 "Node2Vec" "NMI" 0.347448776501476
"305" 5 "Node2Vec" "NMI" 0.584572834700741
"306" 6 "Node2Vec" "NMI" 0.510113703979152
"307" 7 "Node2Vec" "NMI" 0.522325700334361
"308" 8 "Node2Vec" "NMI" 0.435410359372215
"309" 9 "Node2Vec" "NMI" 0.634699113452433
"310" 10 "Node2Vec" "NMI" 0.569610265337603
"311" 11 "Node2Vec" "NMI" 0.410767506312065
"312" 12 "Node2Vec" "NMI" 0.341385678490766
"313" 13 "Node2Vec" "NMI" 0.553617296112069
"314" 14 "Node2Vec" "NMI" 0.279820095284611
"315" 15 "Node2Vec" "NMI" 0.566236364010327
"316" 16 "Node2Vec" "NMI" 0.510545275577228
"317" 17 "Node2Vec" "NMI" 0.495901987541306
"318" 18 "Node2Vec" "NMI" 0.421313313677344
"319" 19 "Node2Vec" "NMI" 0.58272379311817
"320" 20 "Node2Vec" "NMI" 0.453576135148079
"321" 21 "Node2Vec" "NMI" 0.421962528058059
"322" 22 "Node2Vec" "NMI" 0.361343767889383
"323" 23 "Node2Vec" "NMI" 0.638849376434011
"324" 24 "Node2Vec" "NMI" 0.581309429995351
"325" 25 "Node2Vec" "NMI" 0.435189272028289
"326" 26 "Node2Vec" "NMI" 0.486502999301601
"327" 27 "Node2Vec" "NMI" 0.302427875408127
"328" 28 "Node2Vec" "NMI" 0.489101964268235
"329" 29 "Node2Vec" "NMI" 0.435864845772081
"330" 30 "Node2Vec" "NMI" 0.517532124988972
"331" 31 "Node2Vec" "NMI" 0.508901391812177
"332" 32 "Node2Vec" "NMI" 0.419855050121221
"333" 33 "Node2Vec" "NMI" 0.525098701521914
"334" 34 "Node2Vec" "NMI" 0.573182829679068
"335" 35 "Node2Vec" "NMI" 0.354455587113039
"336" 36 "Node2Vec" "NMI" 0.456985091062622
"337" 37 "Node2Vec" "NMI" 0.510727683810441
"338" 38 "Node2Vec" "NMI" 0.509260904695873
"339" 39 "Node2Vec" "NMI" 0.602825647743149
"340" 40 "Node2Vec" "NMI" 0.374551355026151
"341" 41 "Node2Vec" "NMI" 0.353574141067332
"342" 42 "Node2Vec" "NMI" 0.446201674762621
"343" 43 "Node2Vec" "NMI" 0.60666684314442
"344" 44 "Node2Vec" "NMI" 0.333920368605684
"345" 45 "Node2Vec" "NMI" 0.579244511578777
"346" 46 "Node2Vec" "NMI" 0.520383575294463
"347" 47 "Node2Vec" "NMI" 0.482206304061242
"348" 48 "Node2Vec" "NMI" 0.572145577171303
"349" 49 "Node2Vec" "NMI" 0.334746895011577
"350" 50 "Node2Vec" "NMI" 0.435511289557371
"351" 1 "Jaccard" "NMI" 0.354767846885379
"352" 2 "Jaccard" "NMI" 0.222545566795998
"353" 3 "Jaccard" "NMI" 0.343590343798087
"354" 4 "Jaccard" "NMI" 0.319855480253104
"355" 5 "Jaccard" "NMI" 0.309125730848805
"356" 6 "Jaccard" "NMI" 0.394493065153006
"357" 7 "Jaccard" "NMI" 0.304016133954855
"358" 8 "Jaccard" "NMI" 0.327089539635393
"359" 9 "Jaccard" "NMI" 0.369776166006893
"360" 10 "Jaccard" "NMI" 0.39005408415406
"361" 11 "Jaccard" "NMI" 0.277746678972595
"362" 12 "Jaccard" "NMI" 0.239453064927273
"363" 13 "Jaccard" "NMI" 0.315052694526993
"364" 14 "Jaccard" "NMI" 0.208970436782775
"365" 15 "Jaccard" "NMI" 0.361837378351627
"366" 16 "Jaccard" "NMI" 0.25424723315225
"367" 17 "Jaccard" "NMI" 0.323132051082181
"368" 18 "Jaccard" "NMI" 0.267974178822351
"369" 19 "Jaccard" "NMI" 0.39103278461114
"370" 20 "Jaccard" "NMI" 0.361623654734869
"371" 21 "Jaccard" "NMI" 0.232275869526391
"372" 22 "Jaccard" "NMI" 0.286994635673346
"373" 23 "Jaccard" "NMI" 0.355929657427221
"374" 24 "Jaccard" "NMI" 0.317640665277323
"375" 25 "Jaccard" "NMI" 0.252552220911235
"376" 26 "Jaccard" "NMI" 0.274869786764525
"377" 27 "Jaccard" "NMI" 0.246275896625446
"378" 28 "Jaccard" "NMI" 0.355333899522484
"379" 29 "Jaccard" "NMI" 0.42114903255138
"380" 30 "Jaccard" "NMI" 0.357278946213367
"381" 31 "Jaccard" "NMI" 0.375758833862725
"382" 32 "Jaccard" "NMI" 0.359927566466491
"383" 33 "Jaccard" "NMI" 0.411696247547732
"384" 34 "Jaccard" "NMI" 0.42261862922361
"385" 35 "Jaccard" "NMI" 0.215088999494627
"386" 36 "Jaccard" "NMI" 0.288505592234937
"387" 37 "Jaccard" "NMI" 0.343946629526055
"388" 38 "Jaccard" "NMI" 0.264647018011828
"389" 39 "Jaccard" "NMI" 0.393726873712013
"390" 40 "Jaccard" "NMI" 0.286582132414197
"391" 41 "Jaccard" "NMI" 0.280310171401659
"392" 42 "Jaccard" "NMI" 0.367602961220779
"393" 43 "Jaccard" "NMI" 0.3260234441696
"394" 44 "Jaccard" "NMI" 0.330198814766589
"395" 45 "Jaccard" "NMI" 0.351028988556079
"396" 46 "Jaccard" "NMI" 0.282310035719637
"397" 47 "Jaccard" "NMI" 0.265326669155202
"398" 48 "Jaccard" "NMI" 0.350850075693726
"399" 49 "Jaccard" "NMI" 0.16288206848596
"400" 50 "Jaccard" "NMI" 0.403462355606668
"401" 1 "Dice" "NMI" 0.314834823769427
"402" 2 "Dice" "NMI" 0.288006571288955
"403" 3 "Dice" "NMI" 0.361725377410472
"404" 4 "Dice" "NMI" 0.328001707506986
"405" 5 "Dice" "NMI" 0.396988335168475
"406" 6 "Dice" "NMI" 0.38119540936999
"407" 7 "Dice" "NMI" 0.355837223095097
"408" 8 "Dice" "NMI" 0.367532944426638
"409" 9 "Dice" "NMI" 0.372140064076464
"410" 10 "Dice" "NMI" 0.399764398121219
"411" 11 "Dice" "NMI" 0.268656889578789
"412" 12 "Dice" "NMI" 0.218344884506308
"413" 13 "Dice" "NMI" 0.370860989250332
"414" 14 "Dice" "NMI" 0.222319479777971
"415" 15 "Dice" "NMI" 0.438885325768674
"416" 16 "Dice" "NMI" 0.426079225960454
"417" 17 "Dice" "NMI" 0.364618915868364
"418" 18 "Dice" "NMI" 0.319158817014797
"419" 19 "Dice" "NMI" 0.378924766585812
"420" 20 "Dice" "NMI" 0.359192172904311
"421" 21 "Dice" "NMI" 0.269582391890968
"422" 22 "Dice" "NMI" 0.282965531728634
"423" 23 "Dice" "NMI" 0.357288741382347
"424" 24 "Dice" "NMI" 0.378976402035965
"425" 25 "Dice" "NMI" 0.266625411875837
"426" 26 "Dice" "NMI" 0.27554244472973
"427" 27 "Dice" "NMI" 0.193483247559288
"428" 28 "Dice" "NMI" 0.318203766937182
"429" 29 "Dice" "NMI" 0.295740748775247
"430" 30 "Dice" "NMI" 0.332741678901695
"431" 31 "Dice" "NMI" 0.388719801521416
"432" 32 "Dice" "NMI" 0.374488006275357
"433" 33 "Dice" "NMI" 0.418064647776276
"434" 34 "Dice" "NMI" 0.365004803848161
"435" 35 "Dice" "NMI" 0.226830871757519
"436" 36 "Dice" "NMI" 0.357922131038721
"437" 37 "Dice" "NMI" 0.359843060659708
"438" 38 "Dice" "NMI" 0.252388910796481
"439" 39 "Dice" "NMI" 0.402951826117655
"440" 40 "Dice" "NMI" 0.343004533485993
"441" 41 "Dice" "NMI" 0.249549776295975
"442" 42 "Dice" "NMI" 0.328775411245126
"443" 43 "Dice" "NMI" 0.387255075786498
"444" 44 "Dice" "NMI" 0.367393562985721
"445" 45 "Dice" "NMI" 0.352775793420391
"446" 46 "Dice" "NMI" 0.299546252212768
"447" 47 "Dice" "NMI" 0.311948921682036
"448" 48 "Dice" "NMI" 0.434377594325012
"449" 49 "Dice" "NMI" 0.23788804638552
"450" 50 "Dice" "NMI" 0.379063898718419
"451" 1 "PageRank" "NMI" 0.270820456016881
"452" 2 "PageRank" "NMI" 0.423428978205365
"453" 3 "PageRank" "NMI" 0.49450257339264
"454" 4 "PageRank" "NMI" 0.289212631621824
