"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 0.833333333333333 1 0.833333333333333 0.166666666666667 1 0.833333333333333
"2" 1 0.833333333333333 0.833333333333333 0.166666666666667 1 1
"3" 0.833333333333333 0.833333333333333 1 0.666666666666667 0.833333333333333 1
"4" 0.666666666666667 0.166666666666667 0.333333333333333 0.666666666666667 0.833333333333333 1
"5" 0.833333333333333 0.833333333333333 0.666666666666667 0.666666666666667 1 1
"6" 1 1 0.833333333333333 0.666666666666667 0.833333333333333 1
"7" 0.833333333333333 0.666666666666667 0.833333333333333 0.166666666666667 1 1
"8" 0.833333333333333 1 0.5 0.5 1 0.833333333333333
"9" 0.833333333333333 0.833333333333333 1 0 1 1
"10" 0.833333333333333 0.5 0.5 0.666666666666667 1 1
"11" 1 0.833333333333333 1 0.166666666666667 1 1
"12" 0.833333333333333 0.833333333333333 1 0.5 0.833333333333333 1
"13" 0.833333333333333 1 0.5 0.166666666666667 1 0.833333333333333
"14" 1 1 0.833333333333333 0.166666666666667 1 0.833333333333333
"15" 1 1 1 0.666666666666667 1 1
"16" 1 0.833333333333333 1 0.666666666666667 1 0.833333333333333
"17" 0.833333333333333 1 0.833333333333333 0.166666666666667 0.833333333333333 1
"18" 0.833333333333333 0.833333333333333 0.5 0.5 1 1
"19" 1 0.666666666666667 0.666666666666667 0.166666666666667 1 1
"20" 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333 1 0.666666666666667
"21" 1 0.5 0.833333333333333 0.333333333333333 0.833333333333333 0.833333333333333
"22" 0.833333333333333 1 1 0.5 1 1
"23" 1 0.833333333333333 1 0.166666666666667 1 1
"24" 1 1 0.833333333333333 0.666666666666667 1 1
"25" 1 0.833333333333333 0.833333333333333 0.5 1 1
"26" 0.833333333333333 1 0.833333333333333 0.5 1 1
"27" 0.666666666666667 1 0.833333333333333 0 1 0.833333333333333
"28" 1 1 1 0.666666666666667 1 1
"29" 0.833333333333333 1 0.833333333333333 0.666666666666667 1 1
"30" 1 0.666666666666667 0.666666666666667 0.333333333333333 0.833333333333333 0.166666666666667
"31" 1 0.833333333333333 0.833333333333333 0.333333333333333 1 1
"32" 1 1 0.833333333333333 0.5 0.666666666666667 0.833333333333333
"33" 1 0.833333333333333 0.833333333333333 0.166666666666667 1 0.833333333333333
"34" 0.666666666666667 1 0.666666666666667 0 1 1
"35" 0.833333333333333 1 0.833333333333333 0.833333333333333 0.833333333333333 1
"36" 0.833333333333333 1 0.833333333333333 0.5 1 0.833333333333333
"37" 0.666666666666667 1 0.833333333333333 0.5 1 0.666666666666667
"38" 0.833333333333333 0.666666666666667 1 0.166666666666667 1 1
"39" 1 0.833333333333333 1 0.166666666666667 1 1
"40" 0.833333333333333 1 0.833333333333333 0.166666666666667 1 1
"41" 1 1 1 0.333333333333333 1 1
"42" 1 1 1 0.5 1 1
"43" 1 1 1 0.333333333333333 1 0.833333333333333
"44" 1 1 0.833333333333333 1 1 1
"45" 1 1 0.833333333333333 0.333333333333333 1 1
"46" 0.666666666666667 0.666666666666667 0.833333333333333 0.166666666666667 0.833333333333333 0.833333333333333
"47" 1 0.833333333333333 0.833333333333333 0.333333333333333 1 0.833333333333333
"48" 1 0.666666666666667 1 0 1 1
"49" 0.666666666666667 1 1 0.333333333333333 0.833333333333333 0.666666666666667
"50" 1 0.833333333333333 1 0.166666666666667 1 1
