"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 1 1 0.833333333333333 0.5 0.666666666666667 1
"2" 0.666666666666667 0.833333333333333 0.333333333333333 0.5 1 0.833333333333333
"3" 1 1 1 0.666666666666667 0.833333333333333 1
"4" 0.5 0.5 0.5 0.166666666666667 0.833333333333333 0.833333333333333
"5" 0.833333333333333 1 1 0.666666666666667 1 1
"6" 1 0.833333333333333 0.833333333333333 0.5 1 1
"7" 1 1 0.833333333333333 0.666666666666667 1 1
"8" 1 0.666666666666667 0.5 0.5 0.833333333333333 0.833333333333333
"9" 1 0.833333333333333 0.5 0.5 1 1
"10" 0.833333333333333 0.833333333333333 1 0.666666666666667 1 1
"11" 0.833333333333333 0.666666666666667 0.833333333333333 0 1 0.833333333333333
"12" 0.666666666666667 0.833333333333333 1 0.166666666666667 1 0.833333333333333
"13" 1 0.5 0.833333333333333 0.333333333333333 1 0.833333333333333
"14" 0.666666666666667 0.666666666666667 1 0.666666666666667 1 1
"15" 0.833333333333333 0.666666666666667 0.833333333333333 0.666666666666667 1 0.833333333333333
"16" 0.833333333333333 0.833333333333333 0.5 0.5 0.666666666666667 0.833333333333333
"17" 0.666666666666667 0.833333333333333 0.833333333333333 0.666666666666667 0.833333333333333 1
"18" 0.833333333333333 0.666666666666667 0.833333333333333 0.666666666666667 0.833333333333333 0.833333333333333
"19" 1 0.833333333333333 1 0.333333333333333 1 1
"20" 0.833333333333333 0.833333333333333 1 0.5 0.833333333333333 1
"21" 0.833333333333333 1 1 0.833333333333333 1 1
"22" 1 1 1 0.5 1 1
"23" 0.666666666666667 1 0.666666666666667 0.666666666666667 1 1
"24" 0.666666666666667 0.833333333333333 0.5 0.666666666666667 0.666666666666667 0.666666666666667
"25" 0.833333333333333 0.833333333333333 0.5 0.166666666666667 1 1
"26" 0.666666666666667 0.5 0.666666666666667 0.5 1 1
"27" 1 0.833333333333333 1 0.166666666666667 1 1
"28" 1 1 1 1 0.833333333333333 1
"29" 1 0.833333333333333 0.833333333333333 0.333333333333333 0.666666666666667 0.833333333333333
"30" 1 1 1 0.666666666666667 1 0.833333333333333
"31" 1 0.833333333333333 1 0.333333333333333 0.833333333333333 1
"32" 0.666666666666667 0.666666666666667 0.5 0.5 1 1
"33" 0.833333333333333 0.5 0.833333333333333 0.5 0.666666666666667 1
"34" 0.666666666666667 0.833333333333333 0.833333333333333 0.333333333333333 0.666666666666667 1
"35" 1 1 1 1 1 1
"36" 1 1 1 0.333333333333333 1 0.833333333333333
"37" 0.666666666666667 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667 0.833333333333333
"38" 1 0.833333333333333 1 0.5 1 1
"39" 1 1 1 0.5 0.833333333333333 1
"40" 1 0.5 0.833333333333333 0.333333333333333 1 0.833333333333333
"41" 1 1 0.833333333333333 0.166666666666667 0.833333333333333 1
"42" 0.833333333333333 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667 1
"43" 1 1 0.833333333333333 0.5 1 1
"44" 0.833333333333333 0.5 0.5 0.666666666666667 1 1
"45" 1 0.666666666666667 0.833333333333333 0.333333333333333 1 0.833333333333333
"46" 1 0.666666666666667 0.833333333333333 0.333333333333333 1 0.833333333333333
"47" 1 1 0.833333333333333 0.666666666666667 1 0.833333333333333
"48" 0.833333333333333 0.5 0.333333333333333 0 0.833333333333333 1
"49" 1 1 1 1 0.833333333333333 1
"50" 1 0.5 0.833333333333333 0.5 1 1
