"k" "Method" "ARI_mean" "ARI_sd"
"1" 3 "TopKGraphs" 0.27893825649075 0.0759084977901942
"2" 3 "Jaccard" 0.364275525804513 0.0881626452586875
"3" 3 "Dice" 0.435439229715728 0.0131495148942636
"4" 3 "PageRank" 0.447913954873382 0
"5" 3 "Node2Vec" 0.495040273282927 0.0714220744252305
"6" 5 "TopKGraphs" 0.716868192275778 0.00572489514173125
"7" 5 "Jaccard" 0.17546005914062 0
"8" 5 "Dice" 0.453057900991619 0
"9" 5 "PageRank" 0.454523504086554 0.0106423853078385
"10" 5 "Node2Vec" 0.685305830648636 0.0276129063448795
"11" 7 "TopKGraphs" 0.693244915902892 0.0399791642012569
"12" 7 "Jaccard" 0.453057900991619 0
"13" 7 "Dice" 0.453057900991619 0
"14" 7 "PageRank" 0.435232344635296 0
"15" 7 "Node2Vec" 0.675773506623401 0.0393439338842536
"16" 10 "TopKGraphs" 0.686638152154697 0.0347277077511614
"17" 10 "Jaccard" 0.453057900991619 0
"18" 10 "Dice" 0.653692555831591 0
"19" 10 "PageRank" 0.630429911832108 0
"20" 10 "Node2Vec" 0.671099810618692 0.0223306930469162
