"k" "Method" "Metric" "Mean" "SD"
"1" "k=5" "TopKGraphs" "Silhouette" 0.130938162253016 0.00108748123728243
"2" "k=7" "TopKGraphs" "Silhouette" 0.135750115248808 0.000433159724498557
"3" "k=10" "TopKGraphs" "Silhouette" 0.141422257393369 0.000511721395802871
"4" "k=5" "Jaccard" "Silhouette" 0.0120639224947059 0
"5" "k=7" "Jaccard" "Silhouette" 0.0166045080084971 0
"6" "k=10" "Jaccard" "Silhouette" 0.0239284766855833 7.55220760638277e-06
"7" "k=5" "Dice" "Silhouette" 0.0209533055391634 0
"8" "k=7" "Dice" "Silhouette" 0.0288187238786752 0
"9" "k=10" "Dice" "Silhouette" 0.0413143413955315 1.30756187302241e-05
"10" "k=5" "PageRank" "Silhouette" 0.00191638844488375 0
"11" "k=7" "PageRank" "Silhouette" 0.00187262304786402 0
"12" "k=10" "PageRank" "Silhouette" 0.0018463435347017 6.5901755109741e-07
"13" "k=5" "Node2Vec" "Silhouette" 0.12157441949933 0.00274385155198986
"14" "k=7" "Node2Vec" "Silhouette" 0.130168312763792 0.00583062751801219
"15" "k=10" "Node2Vec" "Silhouette" 0.134043992540004 0.00548533428175783
"16" "k=5" "TopKGraphs" "CalinskiHarabasz" 72.000118841631 0.585704465335504
"17" "k=7" "TopKGraphs" "CalinskiHarabasz" 84.6071407731094 0.382810412043334
"18" "k=10" "TopKGraphs" "CalinskiHarabasz" 114.37198206286 1.84166521835965
"19" "k=5" "Jaccard" "CalinskiHarabasz" 14.2086608441267 0
"20" "k=7" "Jaccard" "CalinskiHarabasz" 21.4628197441173 0
"21" "k=10" "Jaccard" "CalinskiHarabasz" 34.3334940206725 0.0155905266580209
"22" "k=5" "Dice" "CalinskiHarabasz" 21.7865593506792 0
"23" "k=7" "Dice" "CalinskiHarabasz" 32.1536613663855 0
"24" "k=10" "Dice" "CalinskiHarabasz" 49.508740678778 0.0258225732823069
"25" "k=5" "PageRank" "CalinskiHarabasz" 6.54994750856718 0
"26" "k=7" "PageRank" "CalinskiHarabasz" 6.82711343360427 0
"27" "k=10" "PageRank" "CalinskiHarabasz" 7.05195604603503 0.00281830373203017
"28" "k=5" "Node2Vec" "CalinskiHarabasz" 218.699869338226 10.7491776438344
"29" "k=7" "Node2Vec" "CalinskiHarabasz" 248.000331431878 21.8414671393462
"30" "k=10" "Node2Vec" "CalinskiHarabasz" 259.727637965074 18.9893862083077
"31" "k=5" "TopKGraphs" "DaviesBouldin" 2.68454979395387 0.0105433048452899
"32" "k=7" "TopKGraphs" "DaviesBouldin" 2.48189755944306 0.0057786550887019
"33" "k=10" "TopKGraphs" "DaviesBouldin" 2.13096667656953 0.0168920883907393
"34" "k=5" "Jaccard" "DaviesBouldin" 6.10395892486297 0
"35" "k=7" "Jaccard" "DaviesBouldin" 4.9621255881255 0
"36" "k=10" "Jaccard" "DaviesBouldin" 3.91659611359318 0.000906741225596948
"37" "k=5" "Dice" "DaviesBouldin" 4.92294854324255 0
"38" "k=7" "Dice" "DaviesBouldin" 4.04767672883768 0
"39" "k=10" "Dice" "DaviesBouldin" 3.25552063987487 0.0008703163006735
"40" "k=5" "PageRank" "DaviesBouldin" 8.98856630739874 0
"41" "k=7" "PageRank" "DaviesBouldin" 8.80905980823957 0
"42" "k=10" "PageRank" "DaviesBouldin" 8.66721284184161 0.00172234319771487
"43" "k=5" "Node2Vec" "DaviesBouldin" 1.52585526037944 0.0382816988050597
"44" "k=7" "Node2Vec" "DaviesBouldin" 1.43442442224056 0.0638126742489696
"45" "k=10" "Node2Vec" "DaviesBouldin" 1.39886933828393 0.0488526525589852
