"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 1 1 1 0.382978723404255 1 1
"2" 1 1 1 0.731042007637752 1 0.89817039364258
"3" 1 1 1 0.180349932705249 1 1
"4" 1 1 1 0.808229243203527 1 1
"5" 1 1 1 0.479913916786227 1 1
"6" 1 1 1 0.516585283717798 1 1
"7" 1 1 1 0.667144906743185 1 1
"8" 1 1 1 0.534977973568282 1 1
"9" 1 1 1 1 1 1
"10" 1 1 1 0.31162350511916 1 1
"11" 1 0.89817039364258 0.89817039364258 0.808229243203527 0.89817039364258 0.89817039364258
"12" 1 1 1 0.543633762517883 0.89817039364258 0.89817039364258
"13" 1 1 1 0.524901703800786 1 1
"14" 1 1 1 0.543633762517883 0.89817039364258 1
"15" 1 1 1 0.72666789872482 1 1
"16" 1 1 1 0.46941415634818 1 1
"17" 1 0.89817039364258 0.89817039364258 0.423348300192431 1 1
"18" 1 1 1 1 1 1
"19" 1 1 1 0.178603644235973 1 1
"20" 1 1 1 0.89817039364258 1 1
"21" 1 1 1 1 1 1
"22" 1 1 1 0.789566755083997 1 0.88911704312115
"23" 0.89817039364258 0.89817039364258 0.89817039364258 0.6981924411174 0.89817039364258 0.808229243203527
"24" 0.89817039364258 1 1 0.649467797221721 1 0.89817039364258
"25" 1 1 1 0.506170910795188 1 1
"26" 1 1 1 1 1 1
"27" 1 1 1 1 1 1
"28" 1 1 1 1 1 1
"29" 1 1 1 0.468058191018343 1 1
"30" 1 1 1 1 1 1
"31" 1 1 1 0.569306930693069 1 1
"32" 1 1 1 0.0762673844773441 1 1
"33" 1 1 1 1 1 1
"34" 0.89817039364258 0.89817039364258 0.89817039364258 0.468058191018343 0.89817039364258 0.89817039364258
"35" 1 1 1 1 1 1
"36" 1 1 1 0.731042007637752 1 1
"37" 1 1 1 0.477905073649754 1 1
"38" 1 0.717099208540401 0.802503221056507 0.717099208540401 0.731042007637752 1
"39" 1 1 1 1 1 1
"40" 1 1 1 0.532585844428872 1 1
"41" 1 1 1 0.616740088105727 1 1
"42" 1 1 1 0.0218347726902395 0.808229243203527 1
"43" 1 0.808229243203527 0.89817039364258 0.616740088105727 1 1
"44" 1 1 1 1 1 1
"45" 1 1 1 0.543633762517883 1 1
"46" 1 1 1 0.440261604721646 1 1
"47" 0.64352856109906 1 1 0.506170910795188 1 1
"48" 1 1 1 1 1 1
"49" 1 1 1 0.519668737060041 1 1
"50" 1 1 1 0.417670682730924 0.89817039364258 1
