"TopKGraphs" "Jaccard" "Dice" "Laplacian" "PageRank" "Node2Vec"
"1" 0.719371918933723 0.645243746576593 0.717099208540401 0.126255380200861 0.7052300868601 0.80170024025134
"2" 0.808229243203527 0.618076853689338 0.731042007637752 0.393345412617361 0.667144906743185 0.808229243203527
"3" 1 0.89817039364258 0.89817039364258 0.156828193832599 0.791827719491993 1
"4" 0.6981924411174 0.731042007637752 0.72666789872482 0.297809257124032 0.808229243203527 1
"5" 1 0.808229243203527 0.89817039364258 -0.0400740865465567 1 0.808229243203527
"6" 1 1 1 0.0575386254661694 0.89817039364258 1
"7" 0.63019774533358 0.808229243203527 0.89817039364258 0.0781388740898597 0.601590744757773 0.808229243203527
"8" 0.89817039364258 0.802503221056507 0.802503221056507 0.129541864139021 0.64352856109906 0.808229243203527
"9" 0.89817039364258 0.806666666666667 0.806666666666667 0.233372621653477 0.791827719491993 0.89817039364258
"10" 1 1 1 0.0147710487444608 0.89817039364258 1
"11" 0.80170024025134 0.80170024025134 0.7052300868601 0.0380535443677387 0.6981924411174 0.717099208540401
"12" 1 1 1 0.278702026025366 1 1
"13" 1 0.89817039364258 0.89817039364258 0.141622999575131 0.791827719491993 0.89817039364258
"14" 1 0.89817039364258 0.89817039364258 0.428860666298546 0.808229243203527 0.89817039364258
"15" 0.89817039364258 0.806666666666667 0.806666666666667 0.181140117208311 0.89817039364258 0.731042007637752
"16" 1 1 1 0.475807924046011 0.645243746576593 1
"17" 1 0.806666666666667 0.806666666666667 0.0513768249861394 1 1
"18" 0.80170024025134 0.89817039364258 0.89817039364258 0.34326579261025 1 0.89817039364258
"19" 0.808229243203527 1 0.808229243203527 0.270993046888929 1 1
"20" 0.808229243203527 0.808229243203527 0.808229243203527 0.095204136209663 0.89817039364258 0.731042007637752
"21" 0.89817039364258 0.89817039364258 0.89817039364258 0.335801618736008 1 1
"22" 0.806666666666667 0.731042007637752 0.731042007637752 0.0385130609511052 0.89817039364258 0.806666666666667
"23" 0.89817039364258 0.80170024025134 0.802503221056507 0.543633762517883 0.802503221056507 0.89817039364258
"24" 0.89817039364258 1 1 0.355777509901843 0.89817039364258 1
"25" 0.89817039364258 0.731042007637752 0.808229243203527 0.468058191018343 0.89817039364258 1
"26" 1 1 1 0.116395292600355 0.89817039364258 0.89817039364258
"27" 1 0.89817039364258 0.89817039364258 0.0988825960508189 0.802503221056507 1
"28" 0.731042007637752 0.89817039364258 0.89817039364258 0.436704621567314 1 0.731042007637752
"29" 0.701689933872153 0.791827719491993 0.791827719491993 0.451296426068676 0.89817039364258 0.6981924411174
"30" 1 0.89817039364258 1 0.0678387497780145 1 1
"31" 1 1 1 0.151841188058797 1 1
"32" 0.89817039364258 1 1 0.126000340541461 0.802503221056507 1
"33" 1 1 1 0.106892618543262 0.89817039364258 1
"34" 1 1 1 0.432775330396476 1 1
"35" 1 0.89817039364258 1 0.519668737060041 0.89817039364258 0.808229243203527
"36" 0.89817039364258 0.89817039364258 0.89817039364258 0.233372621653477 0.89817039364258 1
"37" 0.89817039364258 0.89817039364258 0.89817039364258 0.393345412617361 0.89817039364258 1
"38" 0.896878704069538 0.890912690556325 0.890912690556325 0.1703130259172 0.896878704069538 1
"39" 1 0.808229243203527 0.808229243203527 0.126225708682475 0.80170024025134 0.89817039364258
"40" 1 0.89817039364258 0.89817039364258 0.0802968960863698 0.89817039364258 0.89817039364258
"41" 0.89817039364258 1 1 0.10545193687231 0.423348300192431 0.89817039364258
"42" 0.89817039364258 0.46941415634818 0.46941415634818 0.267549207455147 1 0.89817039364258
"43" 1 1 1 0.370007007708479 0.89817039364258 1
"44" 0.808229243203527 0.717099208540401 0.80170024025134 0.125605374160287 0.808229243203527 0.80170024025134
"45" 0.806666666666667 0.89817039364258 0.89817039364258 -0.00790644045462036 0.717099208540401 0.89817039364258
"46" 0.6981924411174 0.72666789872482 0.808229243203527 0.153796550056424 0.616458486407054 0.731042007637752
"47" 0.89817039364258 0.89817039364258 0.89817039364258 0.325813673153091 0.808229243203527 0.89817039364258
"48" 0.89817039364258 0.89817039364258 0.802503221056507 0.429731192495039 0.89817039364258 0.89817039364258
"49" 0.89817039364258 0.656296296296296 0.808229243203527 0.383791797068028 0.80170024025134 0.510015676711374
"50" 1 1 1 0.151841188058797 1 1
