"TopKGraphs" "Jaccard" "Dice" "Laplacian" "Node2Vec"
"1" 1 0.333333333333333 0.5 0.833333333333333 0.666666666666667
"2" 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667 1
"3" 1 0.833333333333333 0.833333333333333 0.166666666666667 1
"4" 0.666666666666667 0.666666666666667 0.666666666666667 0.166666666666667 0.5
"5" 1 1 0.833333333333333 0.666666666666667 0.833333333333333
"6" 0.666666666666667 0.333333333333333 0.333333333333333 0.5 0.833333333333333
"7" 1 0.666666666666667 0.833333333333333 0.166666666666667 0.833333333333333
"8" 0.833333333333333 0.833333333333333 0.833333333333333 0.5 0.833333333333333
"9" 1 0.833333333333333 0.833333333333333 0.5 0.833333333333333
"10" 1 0.833333333333333 0.833333333333333 0.666666666666667 0.833333333333333
"11" 0.833333333333333 0.833333333333333 0.666666666666667 0.166666666666667 0.833333333333333
"12" 0.833333333333333 0.833333333333333 0.833333333333333 0.333333333333333 1
"13" 0.833333333333333 0.833333333333333 0.833333333333333 0.333333333333333 0.666666666666667
"14" 0.833333333333333 0.333333333333333 0.5 0.5 0.833333333333333
"15" 0.833333333333333 0.5 0.666666666666667 0.333333333333333 1
"16" 0.833333333333333 0.666666666666667 0.666666666666667 0.333333333333333 0.833333333333333
"17" 0.833333333333333 1 0.833333333333333 0.333333333333333 1
"18" 1 0.833333333333333 1 0.833333333333333 0.833333333333333
"19" 0.5 0.5 0.5 0.666666666666667 0.5
"20" 0.833333333333333 1 1 0 0.833333333333333
"21" 0.666666666666667 0.666666666666667 0.666666666666667 0.5 1
"22" 0.833333333333333 0.333333333333333 0.666666666666667 0.333333333333333 0.666666666666667
"23" 0.5 0.833333333333333 0.666666666666667 0.666666666666667 0.5
"24" 0.833333333333333 0.666666666666667 0.666666666666667 0 0.833333333333333
"25" 1 0.666666666666667 1 0.333333333333333 0.833333333333333
"26" 1 0.833333333333333 0.666666666666667 0.166666666666667 1
"27" 0.833333333333333 0.666666666666667 1 0 1
"28" 0.833333333333333 0.833333333333333 0.833333333333333 0.166666666666667 0.666666666666667
"29" 0.333333333333333 0.5 0.833333333333333 0 0.833333333333333
"30" 0.5 0.333333333333333 0.5 0.666666666666667 0.833333333333333
"31" 0.5 0.833333333333333 0.666666666666667 0.333333333333333 0.666666666666667
"32" 1 0.833333333333333 1 0.666666666666667 1
"33" 0.666666666666667 0.5 0.833333333333333 0.5 1
"34" 0.833333333333333 0.666666666666667 0.5 0.666666666666667 0.833333333333333
"35" 0.833333333333333 0.833333333333333 1 0.166666666666667 0.833333333333333
"36" 0.666666666666667 0.333333333333333 0.333333333333333 0.333333333333333 1
"37" 0.833333333333333 0.666666666666667 0.666666666666667 0.333333333333333 1
"38" 1 0.833333333333333 0.833333333333333 0.833333333333333 0.833333333333333
"39" 0.833333333333333 0.5 1 0.666666666666667 0.833333333333333
"40" 1 1 1 0.333333333333333 0.666666666666667
"41" 0.833333333333333 1 0.833333333333333 0.333333333333333 1
"42" 1 0.833333333333333 0.666666666666667 0.166666666666667 0.833333333333333
"43" 0.666666666666667 0.333333333333333 0.333333333333333 0.333333333333333 0.5
"44" 0.666666666666667 0.5 0.833333333333333 0.5 0.833333333333333
"45" 1 1 1 0.666666666666667 0.833333333333333
"46" 0.833333333333333 0.5 0.666666666666667 0.333333333333333 0.833333333333333
"47" 0.5 0.833333333333333 0.333333333333333 0.333333333333333 0.5
"48" 1 0.5 0.666666666666667 0.333333333333333 0.833333333333333
"49" 0.666666666666667 0.666666666666667 0.333333333333333 0.666666666666667 0.666666666666667
"50" 0.666666666666667 0.833333333333333 0.666666666666667 0.166666666666667 0.833333333333333
