"TopKGraphs" "Jaccard" "Dice" "Laplacian" "Node2Vec"
"1" 1 1 1 0.417670682730924 1
"2" 1 1 1 0.395535860823896 1
"3" 0.89817039364258 1 1 0.506170910795188 1
"4" 1 1 1 0.468058191018343 1
"5" 1 0.89817039364258 0.89817039364258 0.331032160296346 1
"6" 0.89817039364258 0.89817039364258 0.89817039364258 0.0560362587556654 0.852292020373514
"7" 1 1 1 0.479913916786227 1
"8" 1 1 1 0.293106026618813 1
"9" 1 1 1 0.506170910795188 1
"10" 1 0.89817039364258 0.89817039364258 0.369565217391304 1
"11" 1 1 1 0.461774221011408 1
"12" 1 1 1 1 1
"13" 1 1 1 0.717099208540401 1
"14" 1 1 1 0.46941415634818 1
"15" 1 1 1 1 1
"16" 1 0.89817039364258 0.89817039364258 0.808229243203527 1
"17" 1 1 1 0.154146977350497 1
"18" 1 1 1 0.423348300192431 1
"19" 1 1 1 0.468058191018343 1
"20" 1 1 1 0.479913916786227 1
"21" 1 1 1 0.125721616420783 1
"22" 1 1 1 0.806666666666667 1
"23" 1 1 1 0.461122136027422 1
"24" 1 1 1 0.656296296296296 1
"25" 1 1 1 0.34837136387389 0.89817039364258
"26" 0.89817039364258 0.808229243203527 0.89817039364258 0.543633762517883 0.950764006791171
"27" 1 1 1 0.457989560532076 1
"28" 1 1 1 0.440261604721646 1
"29" 1 1 1 0.543905635648755 1
"30" 1 1 1 0.618076853689338 1
"31" 1 1 1 0.338490987398309 1
"32" 1 1 1 0.329362298528381 1
"33" 1 1 1 1 1
"34" 1 1 1 0.534977973568282 1
"35" 1 1 1 0.604473540643753 1
"36" 0.89817039364258 1 1 0.161849710982659 1
"37" 1 1 1 0.89817039364258 1
"38" 1 0.89817039364258 0.89817039364258 0.51228978007762 1
"39" 1 1 1 0.440261604721646 1
"40" 1 1 1 1 1
"41" 1 0.808229243203527 0.808229243203527 0.423348300192431 0.89817039364258
"42" 1 0.89817039364258 0.89817039364258 0.659074210139603 1
"43" 1 1 1 0.494096916299559 1
"44" 1 1 1 0.5980410275365 1
"45" 1 1 1 1 1
"46" 1 1 1 1 1
"47" 1 1 1 0.46941415634818 1
"48" 1 0.89817039364258 1 0.543633762517883 1
"49" 1 1 1 0.543905635648755 1
"50" 0.89817039364258 0.89817039364258 0.89817039364258 0.0101025562528701 0.950764006791171
