"TopKGraphs" "Jaccard" "Dice" "Laplacian" "Node2Vec"
"1" 1 0.833333333333333 0.833333333333333 0.333333333333333 1
"2" 0.833333333333333 0.833333333333333 1 0.666666666666667 1
"3" 0.833333333333333 0.833333333333333 1 0.666666666666667 1
"4" 0.5 0.833333333333333 0.833333333333333 0.166666666666667 1
"5" 1 1 0.666666666666667 0.666666666666667 0.833333333333333
"6" 0.833333333333333 0.666666666666667 1 0.166666666666667 0.833333333333333
"7" 1 0.5 0.833333333333333 0.333333333333333 1
"8" 1 1 0.833333333333333 0.166666666666667 0.833333333333333
"9" 1 1 1 0.166666666666667 1
"10" 0.833333333333333 0.666666666666667 0.666666666666667 0.333333333333333 0.833333333333333
"11" 1 0.833333333333333 1 0.166666666666667 1
"12" 1 1 1 0.5 0.833333333333333
"13" 1 0.833333333333333 1 0.666666666666667 0.833333333333333
"14" 0.833333333333333 1 0.833333333333333 0.833333333333333 0.833333333333333
"15" 1 1 0.5 0.666666666666667 1
"16" 0.833333333333333 0.666666666666667 1 0.333333333333333 0.833333333333333
"17" 1 0.666666666666667 1 1 1
"18" 0.833333333333333 1 1 0.5 1
"19" 1 0.833333333333333 0.833333333333333 0.666666666666667 1
"20" 1 1 1 0.333333333333333 1
"21" 0.833333333333333 1 1 0.666666666666667 1
"22" 1 1 1 0.833333333333333 1
"23" 0.833333333333333 0.666666666666667 0.833333333333333 0.5 0.5
"24" 1 0.666666666666667 0.833333333333333 0.5 1
"25" 1 0.833333333333333 1 0.666666666666667 0.833333333333333
"26" 0.833333333333333 0.833333333333333 0.833333333333333 0.166666666666667 0.833333333333333
"27" 1 0.833333333333333 0.666666666666667 0.833333333333333 0.833333333333333
"28" 0.833333333333333 1 0.666666666666667 0.5 1
"29" 1 0.833333333333333 0.333333333333333 0 0.833333333333333
"30" 1 1 1 0.333333333333333 1
"31" 1 0.833333333333333 0.5 0.5 0.833333333333333
"32" 1 1 0.833333333333333 0.333333333333333 0.833333333333333
"33" 1 0.833333333333333 1 0.666666666666667 1
"34" 1 1 0.833333333333333 0.833333333333333 1
"35" 1 1 1 0.166666666666667 1
"36" 1 1 0.833333333333333 0.833333333333333 1
"37" 0.833333333333333 1 1 0.166666666666667 1
"38" 1 1 0.833333333333333 0.333333333333333 0.833333333333333
"39" 1 1 1 0.166666666666667 1
"40" 0.666666666666667 0.833333333333333 0.833333333333333 0.333333333333333 1
"41" 0.666666666666667 0.833333333333333 0.666666666666667 0.333333333333333 1
"42" 0.666666666666667 0.666666666666667 0.833333333333333 0.5 1
"43" 0.833333333333333 0.666666666666667 0.666666666666667 0.166666666666667 0.666666666666667
"44" 1 0.833333333333333 0.833333333333333 0.833333333333333 1
"45" 0.666666666666667 1 1 0.166666666666667 1
"46" 0.666666666666667 1 1 0.333333333333333 0.833333333333333
"47" 1 0.833333333333333 0.666666666666667 0.666666666666667 1
"48" 1 1 0.833333333333333 0.5 1
"49" 1 1 1 0.833333333333333 0.666666666666667
"50" 0.833333333333333 0.833333333333333 0.833333333333333 0.5 1
