"TopKGraphs" "Jaccard" "Dice" "Laplacian" "Node2Vec"
"1" 0.833333333333333 0.833333333333333 1 0.333333333333333 0.833333333333333
"2" 0.666666666666667 1 1 0.333333333333333 0.833333333333333
"3" 0.833333333333333 0.833333333333333 1 0.333333333333333 1
"4" 0.666666666666667 1 0.833333333333333 0.666666666666667 1
"5" 1 1 1 0.333333333333333 1
"6" 1 1 1 0.333333333333333 1
"7" 0.833333333333333 1 0.833333333333333 0.333333333333333 1
"8" 1 1 1 0.5 1
"9" 0.833333333333333 0.666666666666667 0.666666666666667 0 1
"10" 1 0.833333333333333 1 0.666666666666667 1
"11" 0.833333333333333 0.833333333333333 1 0.333333333333333 1
"12" 0.833333333333333 0.666666666666667 0.833333333333333 0.333333333333333 0.666666666666667
"13" 1 0.833333333333333 1 0.666666666666667 1
"14" 1 0.5 0.666666666666667 0.5 0.833333333333333
"15" 0.833333333333333 1 0.833333333333333 0.333333333333333 1
"16" 0.833333333333333 0.833333333333333 1 0.666666666666667 1
"17" 0.833333333333333 0.666666666666667 0.833333333333333 0.5 0.833333333333333
"18" 1 1 1 0.166666666666667 1
"19" 1 0.833333333333333 1 0.333333333333333 0.833333333333333
"20" 0.833333333333333 0.833333333333333 0.833333333333333 0.333333333333333 1
"21" 1 0.666666666666667 1 0.333333333333333 0.333333333333333
"22" 0.833333333333333 1 1 0.166666666666667 1
"23" 1 1 1 0.833333333333333 1
"24" 0.666666666666667 1 0.833333333333333 0.333333333333333 0.666666666666667
"25" 0.833333333333333 0.833333333333333 0.833333333333333 0.5 1
"26" 0.833333333333333 0.833333333333333 1 0.833333333333333 1
"27" 1 1 0.833333333333333 0.5 0.833333333333333
"28" 0.833333333333333 0.666666666666667 0.833333333333333 0.5 1
"29" 1 0.833333333333333 0.5 0.833333333333333 1
"30" 0.833333333333333 0.833333333333333 0.833333333333333 0.666666666666667 0.666666666666667
"31" 0.833333333333333 0.666666666666667 0.5 0.666666666666667 0.833333333333333
"32" 0.833333333333333 0.666666666666667 0.333333333333333 0 1
"33" 0.833333333333333 0.833333333333333 1 0.5 1
"34" 0.833333333333333 1 0.833333333333333 0.666666666666667 0.833333333333333
"35" 0.666666666666667 0.833333333333333 0.833333333333333 0.666666666666667 0.833333333333333
"36" 0.666666666666667 0.5 0.5 0.166666666666667 0.666666666666667
"37" 1 1 0.666666666666667 0 1
"38" 0.666666666666667 0.833333333333333 1 0.333333333333333 1
"39" 0.5 0.5 1 0.5 1
"40" 0.666666666666667 0.833333333333333 0.833333333333333 0.5 1
"41" 0.833333333333333 0.666666666666667 0.833333333333333 0.333333333333333 0.833333333333333
"42" 0.666666666666667 0.833333333333333 0.666666666666667 0.666666666666667 1
"43" 0.833333333333333 0.833333333333333 1 0.5 0.833333333333333
"44" 0.833333333333333 0.833333333333333 1 0.333333333333333 1
"45" 0.833333333333333 0.833333333333333 0.833333333333333 0.666666666666667 1
"46" 1 0.833333333333333 1 0.5 1
"47" 1 1 0.666666666666667 0.5 0.666666666666667
"48" 1 0.833333333333333 0.833333333333333 0.333333333333333 0.666666666666667
"49" 1 0.666666666666667 0.5 0.666666666666667 0.833333333333333
"50" 0.833333333333333 0.666666666666667 0.333333333333333 0.333333333333333 0.5
