"k" "Method" "Accuracy" "SD"
"1" 5 "TopKGraphs" 0.963503649635037 0.0133265829076683
"2" 5 "Jaccard" 0.971532846715328 0.0192967202519692
"3" 5 "Dice" 0.97007299270073 0.0151751495177739
"4" 5 "PageRank" 0.957664233576642 0.0127824092813272
"5" 5 "Node2Vec" 0.961313868613139 0.0109082782342871
"6" 7 "TopKGraphs" 0.976642335766423 0.0132374408844141
"7" 7 "Jaccard" 0.965693430656934 0.0119444649232444
"8" 7 "Dice" 0.974452554744526 0.0115411593436802
"9" 7 "PageRank" 0.970802919708029 0.01754526168109
"10" 7 "Node2Vec" 0.964963503649635 0.0149194255150909
"11" 10 "TopKGraphs" 0.958394160583942 0.00976272634926469
"12" 10 "Jaccard" 0.972992700729927 0.0133487754008226
"13" 10 "Dice" 0.95985401459854 0.0150969265766312
"14" 10 "PageRank" 0.969343065693431 0.00960993560006398
"15" 10 "Node2Vec" 0.972262773722628 0.0127824092813272
